23-Aug-13 Jamestown                   20 Rocky Mountain              34 Miles City MT
29-Aug-13 Illinois St                 28 Ball St                     51 
29-Aug-13 Tulsa                        7 Bowling Green               34 
29-Aug-13 Incarnate Word               7 Central Arkansas            58 
29-Aug-13 Akron                        7 Central Florida             38 
29-Aug-13 Tennessee-Martin            31 Chattanooga                 21 
29-Aug-13 Towson                      33 Connecticut                 18 
29-Aug-13 Jacksonville FL             35 Delaware                    51 
29-Aug-13 Montana St-Northern         14 Dickinson St                 0 
29-Aug-13 Grand View                  21 Drake                       16 
29-Aug-13 Robert Morris PA             6 Eastern Kentucky            38 
29-Aug-13 Rhode Island                26 Fordham                     51 
29-Aug-13 Rutgers                     51 Fresno St                   52 
29-Aug-13 Southern Cal                30 Hawai`i                     13 
29-Aug-13 Indiana St                  35 Indiana                     73 
29-Aug-13 Liberty                     10 Kent St                     17 
29-Aug-13 Western Carolina            24 Middle Tennessee St         45 
29-Aug-13 UNLV                        23 Minnesota                   51 
29-Aug-13 Northwestern St             23 Missouri St                 17 
29-Aug-13 Monmouth NJ                 24 Montana St                  42 
29-Aug-13 Pikeville                   13 Morehead St                 10 
29-Aug-13 Valparaiso                  10 North Dakota                69 
29-Aug-13 Eastern Oregon              17 Portland St                 57 
29-Aug-13 Sacramento St                0 San José St                 24 
29-Aug-13 SE Missouri St               7 SE Louisiana St             45 
29-Aug-13 Southern Utah               22 South Alabama               21 
29-Aug-13 North Carolina              10 South Carolina              27 
29-Aug-13 Cumberland TN                7 Tennessee Tech              63 
29-Aug-13 Jackson St                   7 Tulane                      34 
29-Aug-13 Utah St                     26 Utah                        30 
29-Aug-13 Mississippi                 39 Vanderbilt                  35 
29-Aug-13 Presbyterian                 7 Wake Forest                 31 
29-Aug-13 Hampton                      9 Western Illinois            42 
29-Aug-13 Dayton                      10 Youngstown St               28 
30-Aug-13 Northern Arizona             0 Arizona                     35
30-Aug-13 Morgan St                   12 Army                        28
30-Aug-13 Samford                     31 Georgia St                  21
30-Aug-13 Southern U.                 13 Houston                     62
30-Aug-13 North Dakota St             24 Kansas St                   21
30-Aug-13 Florida Atlantic             6 Miami FL                    34
30-Aug-13 Western Michigan            13 Michigan St                 26
30-Aug-13 Texas Tech                  41 SMU                         23
31-Aug-13 Concordia AL                 6 Abilene Christian           84  
31-Aug-13 Colgate                     13 Air Force                   38  
31-Aug-13 Virginia Tech               10 Alabama                     35 Atlanta GA
31-Aug-13 Jacksonville St             24 Alabama St                  22  
31-Aug-13 Edward Waters               12 Alcorn St                   63  
31-Aug-13 Louisiana-Lafayette         14 Arkansas                    34  
31-Aug-13 Arkansas-Pine Bluff         11 Arkansas St                 62  
31-Aug-13 Washington St               24 Auburn                      31  
31-Aug-13 Wofford                      3 Baylor                      69  
31-Aug-13 Texas College               26 Belhaven                    36  
31-Aug-13 Briar Cliff                  9 Benedictine KS              30  
31-Aug-13 Haskell                     24 Bethel KS                   41  
31-Aug-13 William Penn                34 Bethel TN                    8  
31-Aug-13 Villanova                   14 Boston College              24  
31-Aug-13 Holy Cross                  16 Bryant                      17  
